epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,2041.77,1.29481,0.88151,0.02271,0.9467,0.90903,0.9707,0.70519,1.03171,0.58959,0.02314,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,2073.6,1.29062,0.86772,0.02242,0.94842,0.90403,0.97015,0.70171,1.02988,0.59541,0.02286,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,2105.5,1.29009,0.87645,0.02255,0.95842,0.90723,0.96981,0.7017,1.03331,0.58301,0.02286,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,2137.3,1.29048,0.87559,0.02249,0.93413,0.91299,0.96681,0.69768,1.04196,0.5905,0.02303,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,2168.46,1.2841,0.8655,0.02243,0.95061,0.90723,0.97281,0.70409,1.02854,0.58171,0.02297,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,2199.86,1.28259,0.86107,0.02229,0.95567,0.91023,0.9736,0.70588,1.02929,0.56983,0.02287,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,2231.78,1.2832,0.86533,0.02223,0.94088,0.90723,0.9687,0.69992,1.0365,0.58551,0.02294,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,2264.17,1.27825,0.85931,0.02222,0.94981,0.92012,0.9737,0.70945,1.02464,0.56605,0.02292,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,2295.98,1.27434,0.85905,0.02222,0.95578,0.91683,0.97639,0.71359,1.01699,0.56519,0.02261,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,2328.75,1.27362,0.8631,0.02215,0.95443,0.91125,0.97496,0.70752,1.01887,0.58417,0.0227,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,2361,1.27536,0.85028,0.02225,0.95715,0.91491,0.97179,0.71008,1.00565,0.56866,0.02233,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,2392.88,1.27137,0.85381,0.02223,0.95153,0.91692,0.97483,0.71295,1.0108,0.56029,0.0224,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,2424.83,1.27066,0.84999,0.02219,0.95216,0.91299,0.97432,0.71157,1.01522,0.55876,0.0225,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,2456.26,1.26765,0.84877,0.02211,0.95545,0.91427,0.9749,0.71273,1.01549,0.5462,0.02261,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,2488.49,1.26392,0.84186,0.02198,0.95762,0.91811,0.97438,0.71188,1.01045,0.55659,0.02245,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,2520.48,1.26537,0.84578,0.022,0.95742,0.92322,0.97749,0.71609,1.0048,0.5455,0.02213,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,2551.36,1.26306,0.8436,0.02193,0.95655,0.91549,0.977,0.7157,1.00326,0.55202,0.02215,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,2584.51,1.2581,0.83973,0.02196,0.9467,0.92051,0.97595,0.71344,1.00481,0.55254,0.02221,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,2618,1.26363,0.84517,0.02193,0.94855,0.9277,0.97807,0.71868,0.9935,0.54547,0.02198,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,2649.91,1.25937,0.84323,0.02184,0.94844,0.91792,0.97626,0.72333,0.98569,0.54542,0.02152,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,2682.01,1.25549,0.82931,0.02175,0.95512,0.90915,0.97549,0.72076,0.99124,0.54651,0.02184,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,2715.52,1.25975,0.83635,0.02163,0.95704,0.92194,0.97971,0.72747,0.98151,0.53223,0.02153,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,2748.2,1.24774,0.8282,0.02168,0.9548,0.91892,0.97658,0.72485,0.98162,0.53542,0.02155,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,2780.13,1.25045,0.83433,0.02174,0.95355,0.93253,0.98011,0.73086,0.9741,0.52636,0.02132,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,2812.23,1.24865,0.83146,0.02173,0.95145,0.92785,0.97719,0.72808,0.97597,0.53021,0.02135,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,2843.34,1.25213,0.83008,0.02164,0.96022,0.92834,0.98018,0.73262,0.97515,0.52274,0.02143,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,2874.32,1.24783,0.82442,0.0216,0.95576,0.93474,0.9809,0.72883,0.97678,0.52125,0.02145,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,2907.73,1.25059,0.82844,0.0216,0.95421,0.93922,0.98079,0.72755,0.97883,0.52288,0.02154,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,2940.18,1.2438,0.81547,0.02146,0.95802,0.93538,0.98099,0.73418,0.97362,0.52432,0.0213,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,2971.91,1.23768,0.81678,0.02141,0.95744,0.9309,0.98048,0.73423,0.97032,0.51596,0.02125,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,3003.7,1.23771,0.81941,0.0215,0.9547,0.93218,0.98009,0.73212,0.97351,0.52094,0.0214,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,3035.48,1.2415,0.81767,0.0215,0.95814,0.93715,0.98014,0.73317,0.96715,0.51722,0.02121,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,3067.14,1.23806,0.82137,0.02122,0.95879,0.93538,0.98042,0.73376,0.96465,0.51638,0.02115,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,3098.97,1.23016,0.81875,0.0213,0.95809,0.9341,0.98121,0.73347,0.96872,0.51531,0.02127,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,3141.99,1.23682,0.81082,0.02144,0.96116,0.93422,0.98277,0.73502,0.97024,0.51152,0.02138,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,3199.53,1.22525,0.80476,0.02112,0.96309,0.93476,0.98226,0.73438,0.97395,0.51069,0.02151,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,3260.3,1.23408,0.80881,0.02131,0.96485,0.9309,0.9817,0.7331,0.97619,0.51183,0.02157,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,3301.17,1.23631,0.80787,0.02125,0.96112,0.93319,0.98293,0.73593,0.97499,0.50814,0.0215,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,3331.9,1.23096,0.80691,0.02123,0.96189,0.93026,0.98056,0.73539,0.97206,0.50813,0.02142,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,3365.1,1.22792,0.80724,0.02124,0.95372,0.93666,0.98097,0.73508,0.97103,0.50849,0.02136,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,3416.43,1.22859,0.80352,0.02128,0.96269,0.93154,0.98114,0.73811,0.96678,0.505,0.02122,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,3475.41,1.22984,0.80681,0.02113,0.95538,0.93666,0.98117,0.73649,0.96575,0.50834,0.0212,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,3508.74,1.21927,0.79874,0.02096,0.96263,0.93154,0.98168,0.73664,0.96628,0.50701,0.02121,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,3538.89,1.22904,0.80293,0.02108,0.96183,0.9341,0.98176,0.73647,0.96718,0.50564,0.02122,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,3570.15,1.22409,0.8049,0.02114,0.95771,0.9373,0.98144,0.73682,0.96634,0.50501,0.02122,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,3601.32,1.22334,0.79964,0.02114,0.95645,0.9415,0.98229,0.73791,0.96332,0.50487,0.02117,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,3631.34,1.22519,0.79381,0.02106,0.95852,0.94178,0.98351,0.73817,0.96216,0.50321,0.02113,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,3662.17,1.21357,0.79585,0.02092,0.95544,0.94626,0.98352,0.7379,0.96176,0.50287,0.02114,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,3692.38,1.21072,0.79313,0.02083,0.95417,0.94578,0.98334,0.7398,0.95911,0.50197,0.02101,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,3722.46,1.21811,0.79791,0.02092,0.95239,0.94713,0.9829,0.73809,0.96012,0.50103,0.02101,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,3752.8,1.21569,0.79342,0.02083,0.94776,0.94882,0.98268,0.7407,0.96035,0.50018,0.02097,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,3782.88,1.20376,0.77968,0.02076,0.95284,0.94372,0.98321,0.74157,0.95791,0.49897,0.02092,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,3812.94,1.21006,0.79172,0.02078,0.95123,0.94836,0.98402,0.74214,0.95637,0.49732,0.0209,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,3842.74,1.20338,0.78038,0.02068,0.95374,0.94946,0.98476,0.74271,0.95588,0.49639,0.02089,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,3872.38,1.20445,0.7823,0.02071,0.95202,0.95206,0.98464,0.74248,0.95521,0.49488,0.02087,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,3902.24,1.2136,0.78861,0.0208,0.95611,0.94781,0.98505,0.74406,0.95453,0.4945,0.02086,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,3931.79,1.20781,0.78809,0.02087,0.95857,0.9474,0.98544,0.74416,0.95332,0.49277,0.02084,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,3961.44,1.20614,0.78505,0.02067,0.96172,0.9437,0.98501,0.74478,0.95249,0.49155,0.02081,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,3991.24,1.20203,0.77859,0.02059,0.95564,0.95102,0.98539,0.74482,0.95252,0.49105,0.02083,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,4021.48,1.20747,0.77816,0.02079,0.95868,0.95012,0.9856,0.74338,0.95367,0.48979,0.02087,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,4051.45,1.19918,0.77441,0.02061,0.95862,0.94851,0.98509,0.7429,0.95265,0.49028,0.02082,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,4081.02,1.20482,0.77848,0.02069,0.95594,0.95202,0.98519,0.7436,0.95107,0.489,0.02079,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,4111.92,1.19094,0.76756,0.02039,0.95657,0.9501,0.98558,0.7441,0.95125,0.48837,0.02079,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,4141.02,1.19602,0.76816,0.02051,0.95973,0.95074,0.98542,0.74444,0.95335,0.48756,0.02083,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,4170.71,1.19653,0.77375,0.02058,0.96051,0.94924,0.98538,0.74447,0.95344,0.48775,0.02082,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,4199.8,1.20165,0.77351,0.0205,0.95816,0.95243,0.98541,0.74508,0.95503,0.48641,0.02088,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,4228.78,1.19667,0.7668,0.02055,0.9582,0.95326,0.98535,0.74444,0.95314,0.48562,0.02083,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,4257.68,1.19322,0.7701,0.02049,0.95752,0.95393,0.98584,0.74538,0.95213,0.48499,0.02079,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,4286.51,1.19422,0.76604,0.0205,0.95959,0.95393,0.98619,0.7454,0.95152,0.48455,0.02078,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
